,pastel dresses,streetwear
2019-12-29 00:00:00,55,65
2020-01-05 00:00:00,66,62
2020-01-12 00:00:00,77,64
2020-01-19 00:00:00,81,68
2020-01-26 00:00:00,72,58
2020-02-02 00:00:00,81,62
2020-02-09 00:00:00,70,58
2020-02-16 00:00:00,79,67
2020-02-23 00:00:00,77,71
2020-03-01 00:00:00,76,61
2020-03-08 00:00:00,61,57
2020-03-15 00:00:00,37,51
2020-03-22 00:00:00,25,54
2020-03-29 00:00:00,31,56
2020-04-05 00:00:00,36,59
2020-04-12 00:00:00,43,64
2020-04-19 00:00:00,35,65
2020-04-26 00:00:00,27,69
2020-05-03 00:00:00,28,62
2020-05-10 00:00:00,40,63
2020-05-17 00:00:00,34,66
2020-05-24 00:00:00,37,59
2020-05-31 00:00:00,37,66
2020-06-07 00:00:00,42,65
2020-06-14 00:00:00,55,71
2020-06-21 00:00:00,43,78
2020-06-28 00:00:00,45,72
2020-07-05 00:00:00,42,81
2020-07-12 00:00:00,50,80
2020-07-19 00:00:00,39,82
2020-07-26 00:00:00,40,79
2020-08-02 00:00:00,38,83
2020-08-09 00:00:00,49,80
2020-08-16 00:00:00,42,77
2020-08-23 00:00:00,47,82
2020-08-30 00:00:00,49,78
2020-09-06 00:00:00,40,78
2020-09-13 00:00:00,34,73
2020-09-20 00:00:00,34,74
2020-09-27 00:00:00,30,71
2020-10-04 00:00:00,37,72
2020-10-11 00:00:00,31,72
2020-10-18 00:00:00,34,71
2020-10-25 00:00:00,36,67
2020-11-01 00:00:00,35,62
2020-11-08 00:00:00,30,74
2020-11-15 00:00:00,35,73
2020-11-22 00:00:00,27,100
2020-11-29 00:00:00,27,75
2020-12-06 00:00:00,30,77
2020-12-13 00:00:00,27,72
2020-12-20 00:00:00,31,76
2020-12-27 00:00:00,36,75
2021-01-03 00:00:00,42,70
2021-01-10 00:00:00,44,73
2021-01-17 00:00:00,49,76
2021-01-24 00:00:00,59,73
2021-01-31 00:00:00,47,71
2021-02-07 00:00:00,44,63
2021-02-14 00:00:00,48,73
2021-02-21 00:00:00,59,62
2021-02-28 00:00:00,62,82
2021-03-07 00:00:00,70,65
2021-03-14 00:00:00,71,68
2021-03-21 00:00:00,63,60
2021-03-28 00:00:00,78,68
2021-04-04 00:00:00,60,67
2021-04-11 00:00:00,61,66
2021-04-18 00:00:00,69,71
2021-04-25 00:00:00,75,70
2021-05-02 00:00:00,65,66
2021-05-09 00:00:00,62,72
2021-05-16 00:00:00,60,65
2021-05-23 00:00:00,57,64
2021-05-30 00:00:00,59,69
2021-06-06 00:00:00,65,63
2021-06-13 00:00:00,59,60
2021-06-20 00:00:00,52,66
2021-06-27 00:00:00,57,64
2021-07-04 00:00:00,66,69
2021-07-11 00:00:00,62,66
2021-07-18 00:00:00,61,76
2021-07-25 00:00:00,62,76
2021-08-01 00:00:00,69,81
2021-08-08 00:00:00,50,74
2021-08-15 00:00:00,50,82
2021-08-22 00:00:00,48,79
2021-08-29 00:00:00,51,71
2021-09-05 00:00:00,50,68
2021-09-12 00:00:00,61,76
2021-09-19 00:00:00,42,74
2021-09-26 00:00:00,50,71
2021-10-03 00:00:00,51,70
2021-10-10 00:00:00,48,70
2021-10-17 00:00:00,35,68
2021-10-24 00:00:00,43,69
2021-10-31 00:00:00,31,68
2021-11-07 00:00:00,37,74
2021-11-14 00:00:00,46,76
2021-11-21 00:00:00,41,70
2021-11-28 00:00:00,29,77
2021-12-05 00:00:00,33,74
2021-12-12 00:00:00,29,75
2021-12-19 00:00:00,31,76
2021-12-26 00:00:00,32,75
2022-01-02 00:00:00,44,85
2022-01-09 00:00:00,49,74
2022-01-16 00:00:00,51,69
2022-01-23 00:00:00,53,81
2022-01-30 00:00:00,59,78
2022-02-06 00:00:00,69,81
2022-02-13 00:00:00,54,84
2022-02-20 00:00:00,75,74
2022-02-27 00:00:00,79,89
2022-03-06 00:00:00,86,82
2022-03-13 00:00:00,86,87
2022-03-20 00:00:00,87,82
2022-03-27 00:00:00,96,83
2022-04-03 00:00:00,92,82
2022-04-10 00:00:00,100,87
2022-04-17 00:00:00,84,85
2022-04-24 00:00:00,73,86
2022-05-01 00:00:00,78,82
2022-05-08 00:00:00,66,77
2022-05-15 00:00:00,65,72
2022-05-22 00:00:00,70,69
2022-05-29 00:00:00,48,67
2022-06-05 00:00:00,58,70
2022-06-12 00:00:00,55,70
2022-06-19 00:00:00,55,66
2022-06-26 00:00:00,67,70
2022-07-03 00:00:00,54,70
2022-07-10 00:00:00,66,70
2022-07-17 00:00:00,56,73
2022-07-24 00:00:00,50,74
2022-07-31 00:00:00,51,76
2022-08-07 00:00:00,52,79
2022-08-14 00:00:00,56,84
2022-08-21 00:00:00,42,77
2022-08-28 00:00:00,49,78
2022-09-04 00:00:00,48,77
2022-09-11 00:00:00,46,81
2022-09-18 00:00:00,42,78
2022-09-25 00:00:00,36,86
2022-10-02 00:00:00,36,80
2022-10-09 00:00:00,38,79
2022-10-16 00:00:00,42,80
2022-10-23 00:00:00,28,71
2022-10-30 00:00:00,34,75
2022-11-06 00:00:00,41,79
2022-11-13 00:00:00,39,89
2022-11-20 00:00:00,32,92
2022-11-27 00:00:00,28,88
2022-12-04 00:00:00,39,88
2022-12-11 00:00:00,33,84
2022-12-18 00:00:00,27,78
2022-12-25 00:00:00,42,87
2023-01-01 00:00:00,44,86
2023-01-08 00:00:00,49,80
2023-01-15 00:00:00,63,74
2023-01-22 00:00:00,64,89
2023-01-29 00:00:00,59,74
2023-02-05 00:00:00,69,73
2023-02-12 00:00:00,59,69
2023-02-19 00:00:00,71,78
2023-02-26 00:00:00,77,91
2023-03-05 00:00:00,80,78
2023-03-12 00:00:00,79,72
2023-03-19 00:00:00,90,91
2023-03-26 00:00:00,90,91
2023-04-02 00:00:00,97,84
2023-04-09 00:00:00,75,74
2023-04-16 00:00:00,62,77
2023-04-23 00:00:00,69,75
2023-04-30 00:00:00,80,74
2023-05-07 00:00:00,70,68
2023-05-14 00:00:00,67,68
2023-05-21 00:00:00,64,71
2023-05-28 00:00:00,65,70
2023-06-04 00:00:00,63,67
2023-06-11 00:00:00,55,66
2023-06-18 00:00:00,61,65
2023-06-25 00:00:00,58,74
2023-07-02 00:00:00,53,67
2023-07-09 00:00:00,54,66
2023-07-16 00:00:00,54,70
2023-07-23 00:00:00,50,73
2023-07-30 00:00:00,60,74
2023-08-06 00:00:00,55,72
2023-08-13 00:00:00,53,70
